Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
lele647 (Thu, 03 Jun 2010 23:42:20 +0000):	@Chriscarroll50: @definitelydiane: I BBQ last night made sure to have lots of leftovers, I dont have to cook!!
lele647 (Thu, 03 Jun 2010 23:46:15 +0000):	@definitelydiane lOl I have one that plays in his room, the other one in the basement, LOL
lele647 (Thu, 03 Jun 2010 23:47:01 +0000):	@glitterglitzer How are you hunny?
lele647 (Thu, 03 Jun 2010 23:47:12 +0000):	RT @Chriscarroll50: @definitelydiane: I made Italian pepper steak. They ate two plates so I guess I passed the test!! @lele647 &gt; YUMMY!!!
lele647 (Thu, 03 Jun 2010 23:49:53 +0000):	@Chriscarroll50 I learned form my daddy and I have our familys secret sauce, LOL I am sharing if you want to DM your email
lele647 (Thu, 03 Jun 2010 23:50:39 +0000):	@definitelydiane LOL good for you!!! I will give ya cooking lessons!! I love food
lele647 (Thu, 03 Jun 2010 23:51:07 +0000):	@glitterglitzer my day is good so far. Still under the weather but I am lucid, LOL
lele647 (Thu, 03 Jun 2010 23:51:39 +0000):	@WatkinsLadybeth how are you? still under the weather, sorry lively Lisa is not here tonight!
lele647 (Thu, 03 Jun 2010 23:52:28 +0000):	@ldykj LMAO what about when sharon almost said they looked like a family!!! #YR
lele647 (Thu, 03 Jun 2010 23:53:22 +0000):	@Chriscarroll50 let me pull up my email, I love it hubby doesnt like BBQ sauce, I know WTH
lele647 (Thu, 03 Jun 2010 23:56:32 +0000):	@WatkinsLadybeth Thanks darling!! Dont you hate nor being yourself!!!
lele647 (Thu, 03 Jun 2010 23:57:13 +0000):	@Chriscarroll50 i damn misspelled, LMAO hold on hunny
lele647 (Thu, 03 Jun 2010 23:58:41 +0000):	RT @HALO_7: These R very cool folks U should Follow @Annymac1 @izzyjsmom @lele647 @dave_k_smith @KarenEJones &lt;---- great Bio! :-) &gt; THX
lele647 (Fri, 04 Jun 2010 00:01:30 +0000):	@WatkinsLadybeth LMAO no, what the hell was that? I think i might be getting old!! LOL I am sure it was from the BBQ, LOL
lele647 (Fri, 04 Jun 2010 00:03:06 +0000):	@glitterglitzer LOL He is layng on the floor!! Poor baby doesnt like the heat, we have the AC on, well i might turn off same temp out
lele647 (Fri, 04 Jun 2010 00:04:36 +0000):	@Chriscarroll50 it makes a pitcher full, so if trying you might want to make the recipe in 1/3
lele647 (Fri, 04 Jun 2010 00:09:23 +0000):	@glitterglitzer we have wood floors so they are cooler, LOL Hes a sweetie but I want a bird too, he cant get to that!!
lele647 (Fri, 04 Jun 2010 00:11:04 +0000):	@Chriscarroll50 LOL I do that!! plus I sneak into and take spoonfuls, LOL whats up tonight hunny?
lele647 (Fri, 04 Jun 2010 00:13:47 +0000):	@WatkinsLadybeth what are you doing tonight nihhy?
lele647 (Fri, 04 Jun 2010 00:27:48 +0000):	@aurapolisher I hope so hunny. how was your day?
lele647 (Fri, 04 Jun 2010 00:30:27 +0000):	@hipcop there is aboout to be an ass whooping in, here hubby again with the HSC, going to get my wonderwonman rope, taking that remote!!!
lele647 (Fri, 04 Jun 2010 00:31:26 +0000):	@cupcakes5 Oh I have a pic for you!!! HOld on
lele647 (Fri, 04 Jun 2010 00:33:01 +0000):	@cupcakes5 How are ya hunny?
lele647 (Fri, 04 Jun 2010 00:33:20 +0000):	@cupcake5 LMAO http://tweetphoto.com/25436020
lele647 (Fri, 04 Jun 2010 00:38:45 +0000):	@RACERJJJ I miss ya J!!!
lele647 (Fri, 04 Jun 2010 00:39:08 +0000):	@RACERJJJ i will FB email you
lele647 (Fri, 04 Jun 2010 00:39:44 +0000):	RT @KottonQueen: #BPcares RT @lele647 34,880,088 gallon leaked in the gulf as of 15 seconds ago @boycott #jgf . yeah you cnew pics shut up
lele647 (Fri, 04 Jun 2010 00:39:54 +0000):	@cupcakes5 i sent it darling
lele647 (Fri, 04 Jun 2010 00:42:48 +0000):	@RACERJJJ cool hunny!
lele647 (Fri, 04 Jun 2010 01:11:57 +0000):	RT @hipcop: @lele647 You get him babe!! XOXO &gt; LOL who did I get?
lele647 (Fri, 04 Jun 2010 01:28:27 +0000):	RT @WeVideo: @lele647 well at least they won't squeak &gt; Tim I really hope your not refering to those pics
lele647 (Fri, 04 Jun 2010 01:35:08 +0000):	@WeVideo Oh hunny I wish there was one. I am Praying this works, how are ya?
lele647 (Fri, 04 Jun 2010 01:36:22 +0000):	@jkheaton Oh i wish you could have seen #yr today was a classic!! well it will be, so glad you are having fun looking forward to the pics
lele647 (Fri, 04 Jun 2010 01:40:01 +0000):	@WeVideo Oh I wanna see!!!
lele647 (Fri, 04 Jun 2010 01:44:06 +0000):	@WeVideo when you do just tell me what to do hunny
lele647 (Fri, 04 Jun 2010 01:59:12 +0000):	@WeVideo abbay is this food inc?
lele647 (Fri, 04 Jun 2010 02:22:45 +0000):	@dawnlambros oh I am sorry, did you pull your ribs? I dont watch basket ball
lele647 (Fri, 04 Jun 2010 02:26:16 +0000):	@dawnlambros worst pian i sever had was akidney infection, OUCH!! worse than childbirth
lele647 (Fri, 04 Jun 2010 02:29:53 +0000):	@dawnlambros i was 19, LOL I will never forget it!! Oh I dont get headaches
lele647 (Fri, 04 Jun 2010 02:43:04 +0000):	@dawnlambros LOL I was when i was a teenager, gived the chance i would love to chase tornados, LOL
lele647 (Fri, 04 Jun 2010 02:54:30 +0000):	@dawnlambros I have always wanted to do that sorry if you misunderstood
lele647 (Fri, 04 Jun 2010 03:02:21 +0000):	@dawnlambros LOL how was your day hunny?
lele647 (Fri, 04 Jun 2010 03:21:04 +0000):	@dawnlambros everthing is good i am under the weather still
lele647 (Fri, 04 Jun 2010 03:32:28 +0000):	@dawnlambros I hope so!! what up this weekend doll
lele647 (Fri, 04 Jun 2010 03:44:19 +0000):	Check this video out -- Jay-Z - Dirt Off Your Shoulder http://youtu.be/Oz_-VaTHpc8 @hipcop @jillzie30
lele647 (Fri, 04 Jun 2010 04:13:37 +0000):	@WeVideo let me check hunny
lele647 (Fri, 04 Jun 2010 04:13:57 +0000):	@dawnlambros no pland yet i cant believe its friday
lele647 (Fri, 04 Jun 2010 04:23:31 +0000):	#FollowFriday @ganjaboy74 @joeygiggles @WeVideo @NickDevious @hipcop @zoomarang @jkheaton
lele647 (Fri, 04 Jun 2010 04:23:42 +0000):	#FollowFriday @cupcakes5 @aurapolisher @glitterglitzer @WatkinsLadybeth @ScottC10 @PageoLoveChild
lele647 (Fri, 04 Jun 2010 04:23:57 +0000):	#FollowFriday @txconsrv09 @gigi4462 @RACERJJJ @ganjaboy74 @TexasRV @FartSoap
lele647 (Fri, 04 Jun 2010 04:24:33 +0000):	#FollowFriday @AndyCrash @M_Albee @ahkonlhamo @LiliButterfly @nwchptr4me @TorreyBrothers
lele647 (Fri, 04 Jun 2010 04:24:48 +0000):	#FollowFriday @cupcake5 @always2trill @DickAmateur @LessaT @SodomTheMovie @MarchiP
lele647 (Fri, 04 Jun 2010 04:25:31 +0000):	#FollowFriday @DinaYeager @foodcreate @ActorAshley @Perry_MG @Martien2012 @lizzihere
lele647 (Fri, 04 Jun 2010 04:26:42 +0000):	#FollowFriday @ldykj @BelleKarper @ActorAshley @Martien2012 @WisdomalaCarte @tityfrans
lele647 (Fri, 04 Jun 2010 04:27:47 +0000):	#FollowFriday @nenelilly @Daddy215 @CFHeather @wishuwere1 @ShanPoe @CrisBuckley
lele647 (Fri, 04 Jun 2010 04:29:27 +0000):	#FollowFriday @upinsmoke @Max_Maximus @laneyfitz @nursemom90 @TheOmahaBeef @bettyrocking
lele647 (Fri, 04 Jun 2010 04:31:18 +0000):	@Perry_MG youe welcome
lele647 (Fri, 04 Jun 2010 04:32:05 +0000):	@wishuwere1 You welcome!!
lele647 (Fri, 04 Jun 2010 04:32:19 +0000):	@zoomarang about to j=hit the bed
lele647 (Fri, 04 Jun 2010 04:35:29 +0000):	#FF FAVS @WeVideo @DanielStoicaTax @FijiCollin @marchip @whatchawearing @L_I_Sound @ChirpyBebo @RoyaltyBuff @joeygiggles
lele647 (Fri, 04 Jun 2010 04:38:07 +0000):	@DivaVirgo96 awesome!!!! It is really good, the end cracked me up
lele647 (Fri, 04 Jun 2010 04:39:48 +0000):	#FF FAVS @webdesigniinc @DivaVirgo96 @FSG_HIRED_GUN @DarylTurner @lowryagency @Miss_Tyque @KrushRadio
lele647 (Fri, 04 Jun 2010 04:44:10 +0000):	@dawnlambros I a minute hunny!! Hubby is still eating, listening to dave mattews
lele647 (Fri, 04 Jun 2010 04:46:23 +0000):	@zoomarang good night love, i will CYT LOL
lele647 (Fri, 04 Jun 2010 04:47:19 +0000):	@DarylTurner LOL you missed him!!! You missed C , tweet him, but it is #ff LOL
lele647 (Fri, 04 Jun 2010 04:49:27 +0000):	@DivaVirgo96 LOL look at the clothes they wear to do thwir deeds tonight!! LMAO victor in that jacket!!
lele647 (Fri, 04 Jun 2010 04:49:46 +0000):	@B4u3rFanZ28 how are you hunny? about to got o sleep
lele647 (Fri, 04 Jun 2010 04:51:50 +0000):	@DivaVirgo96 LOL of coursem this is gonna be good, the robot thing is getting old
lele647 (Fri, 04 Jun 2010 04:53:12 +0000):	@DivaVirgo96 check out the heels babe
lele647 (Fri, 04 Jun 2010 04:58:14 +0000):	RT @Having_sum_fun: Pretty sure I'm on the way to hell. ditto
lele647 (Fri, 04 Jun 2010 05:00:36 +0000):	I am our godnight all luv ya #jfg
lele647 (Fri, 04 Jun 2010 05:01:07 +0000):	@DivaVirgo96 I am going to bed enjoy, tweet me what you think!! HUGS
lele647 (Fri, 04 Jun 2010 14:20:24 +0000):	RT @rleseberg: (Support @Hopeforchildren) #FF Rock Stars: @lele647 @mommamiaria @SuspendedShexy @definitelydiane @howard74 @moondustwriter
lele647 (Fri, 04 Jun 2010 14:20:41 +0000):	RT @DarylTurner: @ganjaboy74 @MarchiP @lele647 [#AllTop Stars of mine!! We'll hook up eventually!! #FF #FollowAnyDay]. HUGS
lele647 (Fri, 04 Jun 2010 14:20:55 +0000):	RT @ARTweestic: #FF #LoveClub @lele647 #FollowFriday @nwchptr4me @TorreyBrothers @izzyjsmom @dave_k_smith @EminemsRealWife @krissy9016
lele647 (Fri, 04 Jun 2010 14:22:00 +0000):	@hipcop luv ya hun doing a few RT then I have a meeting at the school then I am coming home
lele647 (Fri, 04 Jun 2010 14:23:19 +0000):	RT @ciaobella50: @lele647 Thank you !!! : ) &gt; your welcome sweetie~ Have a great day!
lele647 (Fri, 04 Jun 2010 14:27:29 +0000):	@OurTownMagazine Thanks sweetheart! Your a great and very special person!! HUGS Have a wonderful day!
lele647 (Fri, 04 Jun 2010 14:27:42 +0000):	RT @ocean_o_curls: tyvm for the #ff ♥ @lele647 @ohmysweetknight &gt; Your welcome!
lele647 (Fri, 04 Jun 2010 14:29:24 +0000):	#FF FAVS @Frank_DeCarolis @Tomas57 @RACERJJJ @OurTownMagazine @ocean_o_curls @saihuu @thelightchaser1 @lifecruise @all3rgict0y0u
lele647 (Fri, 04 Jun 2010 14:31:02 +0000):	#FF FAVS @ToughAct @TweetUWrite2010 @yeagerhood @StaywithMiley @donnette @Van_na @Care2JoinMe @CALLOMES @Ramikantari
lele647 (Fri, 04 Jun 2010 14:32:42 +0000):	RT @ellepiari: @lele647 thank u for the #FF *hugs* &gt; HUGS
lele647 (Fri, 04 Jun 2010 14:34:31 +0000):	Okay I have to go out for a while BB for #YR
lele647 (Fri, 04 Jun 2010 14:57:03 +0000):	I forgot how hard it is to walk through crowded high school halls. #jgf
lele647 (Fri, 04 Jun 2010 15:55:46 +0000):	#FF FAVS @laz314 @TorreyBrothers @nursemom90 @CwbyWsdm @designerpens @andrea652 @Ebony0620 @Kristen_Howe @ARTweestic @nanecandido
lele647 (Fri, 04 Jun 2010 15:57:37 +0000):	@M_Albee Miss you to Mike!!
lele647 (Fri, 04 Jun 2010 16:00:31 +0000):	@Martien2012 Good afternoon!
lele647 (Fri, 04 Jun 2010 16:01:28 +0000):	#FF FAVS @ADSmithNRA @foodcreate @oldaa @TheRealLaine @daguswijaya @RoyaltyBuff @Daddy215 @Martien2012 @ImmaChocoholic @gparcels
lele647 (Fri, 04 Jun 2010 16:07:41 +0000):	RT @Tomas57: #FF: A-Listers: @LoriMoreno @GumBootSally @lele647 @ciaobella50 @Thea_is_Thea @MomsofAmerica @ARTweestic &gt; thanks hunny!
lele647 (Fri, 04 Jun 2010 16:08:10 +0000):	RT @hipcop: I follow this sweetheart because I truly value our friendship!! @lele647 you rock Lisa!! ;) #FF &gt; Luv ya!
lele647 (Fri, 04 Jun 2010 16:09:15 +0000):	RT @amandabeez: @lele647 hey hey! how are you? #FF &gt; I am okay!! How are ya? HUGS
lele647 (Fri, 04 Jun 2010 17:34:38 +0000):	#FF FAVS @katieschwartz @Tomas57 @hipcop @Stodsports @2damnkredible @amandabeez @Flyer4Him @rootnl2k @yellatisha @littlemizzangry
lele647 (Fri, 04 Jun 2010 17:36:56 +0000):	THANKS RT @creolelad2009: #FF @rachelhavanna @ms_stiletto @lele647 @NonnaRandazzos
lele647 (Fri, 04 Jun 2010 17:38:01 +0000):	RT @jillzie30: Good Morning &amp; Happy TGIF Lovelies!@definitelydiane @jkheaton @cupcakes5 @la_loquita @fawnthomas @nenelilly @Chari_S @uva98
lele647 (Fri, 04 Jun 2010 17:39:35 +0000):	#FF FAVS @gigi4462 @saihuu @Zigzagpaz @thelightchaser1 @EminemsRealWife @usmcdog @Apocalyptica @Plumb_Crazy @scottydsntkno @nirvoo
lele647 (Fri, 04 Jun 2010 17:41:51 +0000):	@M_Albee have fun in FL hunny!!!
lele647 (Fri, 04 Jun 2010 17:43:50 +0000):	#FF FAVS @JAGProds @Apocalyptica @dmbrown111 @rngohel @LarissaGlueck @NickDevious @LORI_SF @Triciadycka @cupcakes5 @grapechick
lele647 (Fri, 04 Jun 2010 17:45:20 +0000):	RT @hitmakertep: FOLLOW! &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; @lele647 &gt; hugs!!!
lele647 (Fri, 04 Jun 2010 18:07:06 +0000):	@Kristen_Howe hope your having a good day!
lele647 (Fri, 04 Jun 2010 18:19:37 +0000):	#FF FAVS @keeperofdreams @LBGems @CwbyWsdm @livinlime @terrythedivo @P10S @WeVideo @BlondeTXGoddess @joeygiggles @Y0UNGSOFLY
lele647 (Fri, 04 Jun 2010 18:20:38 +0000):	#FF FAV 4 EVER @whatchawearing HUGS Sean hope your having a great day!!! XOXOX
lele647 (Fri, 04 Jun 2010 18:24:53 +0000):	@DivaVirgo96 LOL I thought it was adam flying in at first, then I cracked up!!
lele647 (Fri, 04 Jun 2010 18:25:47 +0000):	@DivaVirgo96 It was good today! I felt so bad for Kevin!
lele647 (Fri, 04 Jun 2010 18:26:11 +0000):	RT @txconsrv09: #FF Patriot5Star TheBestoftheBest @lilibutterfly @JessiBradshaw @dimplesang @michelyn73 @CFHeather @runedart #JGF
lele647 (Fri, 04 Jun 2010 18:28:25 +0000):	RT @ganjaboy74: Luv ya my most precious twin!!! RT @lele647: My Most FAV #FF EVER @ganjaboy74 *snuggling* with Titi, you and Laui!&gt; HUGS
lele647 (Fri, 04 Jun 2010 18:29:56 +0000):	#FF FAVS @foodcreate @runedart @lowryagency @winsenkamto @jbranigan @combi31 @mitzchi @DerrexBrady @readtoday @ocean_o_curls @caramelminx
lele647 (Fri, 04 Jun 2010 18:32:34 +0000):	@usmcdog Hey hunny, it sunny here too! How is your day?
lele647 (Fri, 04 Jun 2010 18:33:29 +0000):	RT @NickDevious: #FF thanks to @DanGavigan @coryberrics @windowsot @lynnegordon @Melanie_Parish @ravenhairgirl @GPLupton @KarenEJones
lele647 (Fri, 04 Jun 2010 18:34:16 +0000):	@jillzie30 hey girl if i can get threw these FF! How is your day, I still need to email you something important, i havent forgotten!
lele647 (Fri, 04 Jun 2010 18:35:11 +0000):	@Kristen_Howe oh they keep saying its gonna storm here for days, nothing just sun!
lele647 (Fri, 04 Jun 2010 18:35:33 +0000):	@DavidKirlew why are ya bouncing off the walls d?
lele647 (Fri, 04 Jun 2010 18:36:21 +0000):	@usmcdog LMAO, I need to get that baby pool so I can hang all day too, too how with no water
lele647 (Fri, 04 Jun 2010 18:37:29 +0000):	#FF FAVS @THELOPEZSANGELS @brunolovesbrit @PittBoss_Chez @AaronAL1 @msflaka @EminemsRealWife @NickDevious @jillzie30 @glorybeful
lele647 (Fri, 04 Jun 2010 18:38:36 +0000):	@DanGavigan I am doing good! how about you?
lele647 (Fri, 04 Jun 2010 18:39:10 +0000):	@mitzchi You too!!!
lele647 (Fri, 04 Jun 2010 18:44:52 +0000):	@jillzie30 no it s means i totally understand!!! Its important for me to tell you my story! I did my #FF last night too these stupid RT
lele647 (Fri, 04 Jun 2010 18:45:26 +0000):	@DavidKirlew I wanna go to disney!!
lele647 (Fri, 04 Jun 2010 18:45:45 +0000):	@usmcdog LOL It would have been a nice day!
lele647 (Fri, 04 Jun 2010 18:47:02 +0000):	#FF FAV @brunolovesbrit @texasps @liferevolving @RoyaltyBuff @scodal @AmyOscar @StephenClinton @B4u3rFanZ28 @AiricAlan
lele647 (Fri, 04 Jun 2010 18:47:49 +0000):	@DanGavigan i am following now! I live in NJ by PA. It was lovely this week.
lele647 (Fri, 04 Jun 2010 18:48:12 +0000):	@Kristen_Howe well you know storms dont bother me!! How was your B day?
lele647 (Fri, 04 Jun 2010 18:49:03 +0000):	@DavidKirlew hunny if I had the money I would go and volunteer in LA, I really would but moneys tight! Boo hoo
lele647 (Fri, 04 Jun 2010 18:49:43 +0000):	@WatkinsLadybeth I am better today!! How are you?
lele647 (Fri, 04 Jun 2010 18:50:34 +0000):	@jillzie30 Oh i dont do that way, there is NO way I can remember everyone so I use @whatchawearings auto #FF then off my RT
lele647 (Fri, 04 Jun 2010 18:50:44 +0000):	@liferevolving How are ya darling?
lele647 (Fri, 04 Jun 2010 18:52:37 +0000):	@usmcdog well I am still a bit sick and the heat would kill me without a float and apool
lele647 (Fri, 04 Jun 2010 18:54:04 +0000):	@DanGavigan well it sucks because I have been ill all week, so i have not been able to go out, I am pissed! Yes hot and humid, I missed it
lele647 (Fri, 04 Jun 2010 18:55:10 +0000):	@BellandaInParis ------------&gt;&gt;&gt; #FF FAV!!!! HUGS beautiful!! Miss you
lele647 (Fri, 04 Jun 2010 18:56:37 +0000):	@usmcdog I just cant do the heat!! I am really pissed I missed this week, it has been perfect, i even have my air on!
lele647 (Fri, 04 Jun 2010 18:59:20 +0000):	@usmcdog Nope in NJ
lele647 (Fri, 04 Jun 2010 18:59:35 +0000):	@DanGavigan CYL, have a good time at work!
lele647 (Fri, 04 Jun 2010 19:01:03 +0000):	RT @DanGavigan: Thanks for the convo/RT's. :)) Catch ya later! @Kristen_Howe @lele647 @ReaganStyle @rootnl2k @CyberBonn @DirtyDiamonds47 @bambangtuts
lele647 (Fri, 04 Jun 2010 19:01:32 +0000):	@liferevolving thats right!! 2 days later my life changes, 2 kids graduate from HS!!
lele647 (Fri, 04 Jun 2010 19:02:14 +0000):	RT @Care2JoinMe: @dnamon22 @lele647 @GumBootSally @LoveGoldCoast @katieschwartz ♥¸„♥º°¨¨¨°❥─❥─❥─❥─❥─❥❥─❥──❥─❥─❥❥─❥──❥─❥─ ❥─❥─❥─❥❥─❥──❥─❥─
lele647 (Fri, 04 Jun 2010 19:02:46 +0000):	@usmcdog Oh not yet, I am from ATL so i know your heat, i was wasnt sick the air would be off!
lele647 (Fri, 04 Jun 2010 19:04:02 +0000):	@jillzie30 I am starting my weekend too!!!
lele647 (Fri, 04 Jun 2010 19:05:30 +0000):	@DivaVirgo96 no and if you find out, will you let me know hunny!
lele647 (Fri, 04 Jun 2010 19:06:23 +0000):	@usmcdog I feel better! Thanks hunny!
lele647 (Fri, 04 Jun 2010 19:09:42 +0000):	@BellandaInParis i am good!! I hope the same to you! Missed your cheerful face!
lele647 (Fri, 04 Jun 2010 19:11:26 +0000):	@DivaVirgo96 I dont even know how to log out! I use uber twitter
lele647 (Fri, 04 Jun 2010 19:11:40 +0000):	RT @davidmartinezmu: #FollowFriday@Adam_Schefter @muse @janewiedlin @lele647 @alomusic &gt; thanks so much HUGS
lele647 (Fri, 04 Jun 2010 19:12:42 +0000):	@heathcrush ---&gt;&gt;&gt; One of my #FF FAVS!!!
lele647 (Fri, 04 Jun 2010 19:14:17 +0000):	@WatkinsLadybeth I hate to tweet on my phone, I only do when I am out, so if you see my tweet is from uber, i am not paying attention!
lele647 (Fri, 04 Jun 2010 19:15:26 +0000):	@NickDevious how are you Nick?
lele647 (Fri, 04 Jun 2010 19:17:01 +0000):	@TheRealLaine what color????
lele647 (Fri, 04 Jun 2010 19:20:20 +0000):	@B4u3rFanZ28 i will drive to Maryland and I hear its like 15 to 20 a person!
lele647 (Fri, 04 Jun 2010 19:21:16 +0000):	@TheRealLaine I have been dying my hair so long other dyes wont take!! I am destined to be blonde for ever!
lele647 (Fri, 04 Jun 2010 19:22:49 +0000):	@RiWrites LOL I am good today though!!!! No problems so far and just 1 stint in jail!!
lele647 (Fri, 04 Jun 2010 19:23:34 +0000):	@B4u3rFanZ28 i prefer the gulf and Myrtle beach, Myrtle beach rocks!
lele647 (Fri, 04 Jun 2010 19:24:44 +0000):	@NickDevious Much better Nick, thanks for asking. How is the family, any pland for the weekend? I want to go rafting! this month!!
lele647 (Fri, 04 Jun 2010 19:26:39 +0000):	@B4u3rFanZ28 I love the beach my fav place to go, last I went though AC beach was free!!
lele647 (Fri, 04 Jun 2010 19:26:58 +0000):	@B4u3rFanZ28 have fun tonight!! CYL hunny
lele647 (Fri, 04 Jun 2010 19:27:41 +0000):	@WatkinsLadybeth LOL your just like @ganjaboy74 hate using my phone! I dont know how ya'll do it!
lele647 (Fri, 04 Jun 2010 19:28:06 +0000):	@jenniehowell How are ya my GA peach!!!!
lele647 (Fri, 04 Jun 2010 19:28:16 +0000):	RT @B4u3rFanZ28: @lele647 all beaches should be free. just like parks! &gt; I agree hunny!!!
lele647 (Fri, 04 Jun 2010 19:30:02 +0000):	@NickDevious I just saw a commercial!! I always rafted in ATL, down the river, but that was the good old days when you could take beer
lele647 (Sat, 05 Jun 2010 01:04:23 +0000):	RT @NickDevious: @lele647 I dunno, Lisa...beer and rafting sounds like a bad combo to me. LMAO ;D &gt; LOL 30 of us went, i was a girl!!
lele647 (Sat, 05 Jun 2010 01:06:52 +0000):	@WatkinsLadybeth LOL You and your phone i text all day and night
lele647 (Sat, 05 Jun 2010 01:11:09 +0000):	@zbleumoon HUGS baby! Happy #FF
lele647 (Sat, 05 Jun 2010 01:13:23 +0000):	RT @sparkie5150: #FollowFriday @DaharaConsult @Miss_Tyque @lele647 @mllyssa @syphil @ahkonlhamo &gt; hey darling!!! HUGS
lele647 (Sat, 05 Jun 2010 01:15:06 +0000):	RT @MarchiP: @lele647 @ganjaboy74 Hope you both have a magical weekend xoox &gt; Luv ya hunny!!
lele647 (Sat, 05 Jun 2010 01:15:54 +0000):	@webdesigniinc HUGS!!! #YR was good today, loved the scene with sharon and nich glaring at each other!!
lele647 (Sat, 05 Jun 2010 01:16:13 +0000):	RT @Miss_Tyque: #FF @lele647 @simplymzb sorry ladies i seem to have missed you out. #FollowFriday &gt; HUGS missed you too
lele647 (Sat, 05 Jun 2010 01:20:14 +0000):	RT @hipcop: #FantasticFive @Facethesunmovie @calbosch @lele647 @scott_bryant @MontereyCoins #FF ;) &gt; luv ya hunny
lele647 (Sat, 05 Jun 2010 01:23:19 +0000):	@_SheGathersRain #FF HUGS
lele647 (Sat, 05 Jun 2010 01:23:45 +0000):	@ScottC10 hey hunny, i think I missed you!!! HUGS Hope you have a good night!!
lele647 (Sat, 05 Jun 2010 01:25:25 +0000):	RT @Boddingtons: @lele647 hey hey did you see that @dutchiedude2 is back.... :) &gt; No I didnt!!
lele647 (Sat, 05 Jun 2010 01:32:18 +0000):	RT @ganjaboy74: You're the coolest twin ever! :) RT @lele647: @ganjaboy74 non ci sono parole!!!! XOXOX &gt; ho miglio essere
lele647 (Sat, 05 Jun 2010 01:38:50 +0000):	@WatkinsLadybeth No your not bad!! whats up tonight?
lele647 (Sat, 05 Jun 2010 01:39:00 +0000):	RT @aris2929wutti: @sylvianathasya @mywaytobis @Lipiee @lele647 @BorgyG @billiebilly @Taurusita @honeybunch_uk Thank u &gt; YW
lele647 (Sat, 05 Jun 2010 01:39:29 +0000):	@Chriscarroll50 how are ya hunny?
lele647 (Sat, 05 Jun 2010 01:40:11 +0000):	RT @Boddingtons: @lele647 yea follow him please :) thanks @dutchiedude2 &gt; somehow I am already following hey dude tweet me!!!
lele647 (Sat, 05 Jun 2010 01:40:28 +0000):	RT @Boddingtons: @lele647 yea follow him please :) thanks @dutchiedude2 . dude need to know if there is a twitter problem
lele647 (Sat, 05 Jun 2010 01:41:13 +0000):	RT @ganjaboy74: You're the coolest twin ever! :) RT @lele647: @ganjaboy74 non ci sono parole!!!! XOXOX &gt; you are my coolest sugarbear! EVER
lele647 (Sat, 05 Jun 2010 01:42:26 +0000):	@Martien2012 I am feeling beter now hunny
lele647 (Sat, 05 Jun 2010 01:42:46 +0000):	@wmkim well hey there stranger!!! how are you?
lele647 (Sat, 05 Jun 2010 01:43:45 +0000):	@Boddingtons no hunny i never followed his new account but it says I am, weird, twitter is fucked up
lele647 (Sat, 05 Jun 2010 01:47:20 +0000):	@Chriscarroll50 i am feeling much bettter tonight!!
lele647 (Sat, 05 Jun 2010 01:47:54 +0000):	@Boddingtons I tryied to follow him for months before and it did not work, tell him to tweet me
lele647 (Sat, 05 Jun 2010 01:48:02 +0000):	@Boddingtons how are ya hunny?
lele647 (Sat, 05 Jun 2010 01:49:13 +0000):	@wmkim Sorry to hear that, is you daughter going to camp for the summer? My kids always did
lele647 (Sat, 05 Jun 2010 01:49:41 +0000):	@ScottC10 I am good, I still need to eat something else. whats up this weekend hunny?
lele647 (Sat, 05 Jun 2010 01:50:33 +0000):	@NickDevious DM me the pic I wanna see!!! Oh come on NicK!!!!
lele647 (Sat, 05 Jun 2010 01:51:02 +0000):	@WatkinsLadybeth I am listening to music and texting and tweeting! LOL
lele647 (Sat, 05 Jun 2010 01:53:20 +0000):	@ScottC10 Oh I am sorry hunny! I dont know what we are doing either
lele647 (Sat, 05 Jun 2010 01:54:13 +0000):	@dentaldiva1 hello Mes Abott!!! i am wearing Victors coat, he finally gave it up!! LOL how did you like tis week?
lele647 (Sat, 05 Jun 2010 01:57:09 +0000):	@dentaldiva1 i love that!! i wish I coudl slip my hubby a ruffie!!! LMAO
lele647 (Sat, 05 Jun 2010 01:58:20 +0000):	@ganjaboy74 i am so blushing my most perfect twin!!! TI VOGGLIO BENE!!!
lele647 (Sat, 05 Jun 2010 01:58:36 +0000):	@Boddingtons Okay how are you hunny?
lele647 (Sat, 05 Jun 2010 01:59:37 +0000):	RT @SchuggaJoy: I Love this gal &gt; @lele647 #FF her because she always makes my day when I see her :) #lovingfriends #lists &gt; luv ya too!
lele647 (Sat, 05 Jun 2010 02:08:56 +0000):	@dentaldiva1 when we watch #YR I have to catch him up!!
lele647 (Sat, 05 Jun 2010 02:11:09 +0000):	RT @PHILIPGRANGER: @sparkie5150 Hey Rogerrrr good to see you!!! &gt; Hey guys!!!
lele647 (Sat, 05 Jun 2010 02:13:56 +0000):	@sparkie5150 i am good!! trying to keep up italian with @ganjaboy74, LMAO how are you hun
lele647 (Sat, 05 Jun 2010 02:19:11 +0000):	@sparkie5150 what did you have?
